num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,num_loop_groups,paths_time,hybrid_r_time,top_down_time,paths_modified_time,paths_sum,hybrid_r_sum,top_down_sum,paths_modified_sum
10,1000,3974,2,42,21,2031,1,0.01637887954711914,0.022906064987182617,0.0034339427947998047,0.0088958740234375,4673435.64413926,4673435.644139259,4673435.644139259,4673435.64413926
10,1000,7952,1,39,20,0123,0,0.015205144882202148,0.04737496376037598,0.0027420520782470703,0.006721019744873047,3238559.2325530862,3238559.2325530867,3238559.2325530867,3238559.2325530862
10,1000,4386,2,42,21,2130,1,0.0236208438873291,0.04453921318054199,0.003227710723876953,0.008260726928710938,5192319.324986984,5192319.324986985,5192319.324986985,5192319.324986984
10,2000,4381,5,51,74,0321,1,0.611595869064331,0.21623706817626953,0.0034110546112060547,0.019261837005615234,164148800.70326817,164148800.70326817,164148800.70326817,164148800.70326817
10,2000,2861,5,51,44,3201,2,0.11640501022338867,0.04716897010803223,0.0034029483795166016,0.011740922927856445,14270027.42854632,14270027.42854632,14270027.42854632,14270027.42854632
10,2000,1625,3,45,22,1203,2,0.03807997703552246,0.027119874954223633,0.0028302669525146484,0.007843732833862305,12991975.929218616,12991975.929218616,12991975.929218614,12991975.929218616
10,3000,5438,4,48,28,2013,1,0.03456282615661621,0.04872298240661621,0.0029828548431396484,0.008446931838989258,9702314.24404969,9702314.24404969,9702314.24404969,9702314.24404969
10,3000,4114,8,60,72,3210,2,0.6828291416168213,0.2605581283569336,0.004939079284667969,0.02567601203918457,221592166.52439994,221592166.52439994,221592166.52439994,221592166.52439994
10,3000,9413,6,54,84,1230,2,0.7191128730773926,0.0814821720123291,0.0034890174865722656,0.023235082626342773,146335978.9628609,146335978.9628609,146335978.96286094,146335978.9628609
10,4000,5102,9,63,138,0312,3,3.1534759998321533,0.07522797584533691,0.003957986831665039,0.0460360050201416,801773158.4230363,801773158.4230362,801773158.4230362,801773158.4230363
10,4000,9621,7,57,58,3210,2,0.20027637481689453,0.10980415344238281,0.0035588741302490234,0.01526498794555664,23913399.96132688,23913399.961326875,23913399.961326875,23913399.96132688
10,4000,5023,5,51,28,3012,2,0.03699469566345215,0.024949073791503906,0.002962827682495117,0.009634971618652344,5535103.0724996235,5535103.0724996235,5535103.072499624,5535103.0724996235
10,5000,102,9,63,72,1203,2,0.520331621170044,0.15971827507019043,0.003676891326904297,0.02069997787475586,96201815.90627587,96201815.90627585,96201815.90627587,96201815.90627587
10,5000,546,5,51,59,2031,1,0.2707710266113281,0.04039311408996582,0.0038652420043945312,0.013910770416259766,34605255.7447599,34605255.744759895,34605255.744759895,34605255.7447599
