num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,num_loop_groups,paths_time,hybrid_r_time,hybrid_nr_time,paths_sum,hybrid_r_sum,hybrid_nr_sum
10,1000,3111,2,42,34,210,1,0.05815482139587402,0.03605389595031738,0.019757986068725586,17645150.026559472,17645150.02655947,17645150.026559472
20,1000,9461,4,88,73,120,3,0.7451169490814209,0.2546381950378418,0.1875448226928711,143430372.25643307,143430372.25643307,143430372.25643307
30,1000,1342,2,122,62,201,1,0.4748270511627197,0.3119661808013916,0.16014504432678223,14623246.20179436,14623246.201794362,14623246.20179436
40,1000,7233,2,162,84,021,1,1.1876420974731445,0.6639969348907471,0.34446215629577637,130843756.1611027,130843756.16110271,130843756.1611027
50,1000,4278,1,199,100,012,0,1.3533592224121094,3.106562852859497,1.5270459651947021,62419132.26250242,62419132.26250242,62419132.26250242
60,1000,145,1,239,120,012,0,2.566070079803467,5.7599098682403564,2.757913827896118,205258954.62887514,205258954.62887514,205258954.62887514
70,1000,7725,5,291,273,102,2,28.200511932373047,2.4108998775482178,1.214813232421875,1614800307.3156488,1614800307.315649,1614800307.315649
80,1000,9793,4,328,519,021,1,208.30418801307678,7.547315835952759,3.886263847351074,6379792592.19663,6379792592.196631,6379792592.196632
90,1000,7649,3,365,188,120,2,13.132810115814209,6.034447908401489,3.3728249073028564,779259859.1826457,779259859.1826457,779259859.1826456
100,1000,1394,6,417,1300,120,1,1877.7672882080078,31.08109188079834,15.789597988128662,80027282788.77725,80027282788.77727,80027282788.77727
