num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,top_down_time,paths_modified_time,top_down_sum,paths_modified_sum
10,1000,7842,2,42,22,10,0.009938955307006836,0.010576963424682617,13648695.268154413,13648695.268154413
10,1000,3749,1,39,20,01,0.00813603401184082,0.008571147918701172,4256802.580864316,4256802.580864316
10,1000,5458,1,39,20,10,0.007609844207763672,0.009246826171875,5165140.500574455,5165140.500574455
10,2000,3545,4,48,46,10,0.018581867218017578,0.014029741287231445,44731585.30065394,44731585.30065394
10,2000,4876,6,54,54,10,0.025597095489501953,0.022281885147094727,67237140.70349611,67237140.70349613
10,2000,3204,5,51,29,01,0.013276100158691406,0.012961149215698242,23152853.61506567,23152853.615065675
10,3000,7190,2,42,22,10,0.007910966873168945,0.008185148239135742,2209121.8827638933,2209121.8827638933
10,3000,6789,6,54,50,10,0.020628929138183594,0.016344070434570312,37433069.831547305,37433069.831547305
10,3000,8491,6,54,73,10,0.028095006942749023,0.0229032039642334,66103030.060980126,66103030.060980126
10,4000,7621,10,66,98,01,0.04624295234680176,0.03467392921447754,208211728.38043946,208211728.38043946
10,4000,9122,4,48,30,01,0.011140823364257812,0.011362075805664062,7837883.2907297835,7837883.290729784
10,4000,7915,7,60,182,10,0.08317399024963379,0.0766899585723877,2966412108.204254,2966412108.2042546
10,5000,6876,6,54,34,10,0.014483213424682617,0.013633012771606445,11777382.38382854,11777382.38382854
10,5000,4957,7,57,91,01,0.038828134536743164,0.029628992080688477,171987373.8760188,171987373.8760188
10,5000,8041,8,60,31,10,0.015304803848266602,0.015638113021850586,10739028.994859066,10739028.994859066
30,1000,2444,2,122,61,10,0.06001615524291992,0.052909135818481445,48893278.14542418,48893278.14542418
30,1000,4429,3,125,139,10,0.1456918716430664,0.08236098289489746,387855768.5982226,387855768.5982226
30,1000,6181,3,125,76,10,0.08720874786376953,0.06293511390686035,171154052.9868626,171154052.9868626
30,2000,1866,5,131,136,01,0.15285921096801758,0.08806920051574707,771181886.0243108,771181886.0243108
30,2000,4240,2,122,61,01,0.0539698600769043,0.04897499084472656,19435350.93969407,19435350.93969407
30,2000,9147,6,134,83,10,0.0940999984741211,0.06791996955871582,153273977.2311201,153273977.2311201
30,3000,6317,6,134,103,01,0.12369298934936523,0.07938098907470703,226795447.5674491,226795447.5674491
30,3000,8093,8,140,137,01,0.15491724014282227,0.09417080879211426,343068290.33778185,343068290.3377818
30,3000,8427,8,140,166,10,0.1907038688659668,0.1044762134552002,750288210.7692636,750288210.7692636
30,4000,5664,8,140,172,10,0.203599214553833,0.10845303535461426,602628069.4662206,602628069.4662206
30,4000,6298,5,131,116,10,0.1473550796508789,0.08444833755493164,190109911.04367512,190109911.04367512
30,4000,6254,10,146,124,10,0.12676715850830078,0.09164118766784668,329557313.1647158,329557313.1647158
30,5000,1243,4,128,119,10,0.11260390281677246,0.06764006614685059,147547041.25170395,147547041.25170395
30,5000,8526,14,158,730,10,1.1576292514801025,0.968189001083374,25784172663.529488,25784172663.52949
