num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,top_down_time,paths_modified_time,top_down_sum,paths_modified_sum
10,1000,3941,3,45,32,01,0.004408121109008789,0.013019084930419922,19383911.80952335,19383911.80952335
10,1000,1599,1,39,20,01,0.004008769989013672,0.010083198547363281,3696364.941181968,3696364.941181969
10,1000,6655,4,48,28,10,0.005053997039794922,0.014861106872558594,7145786.117520157,7145786.117520157
10,2000,9323,2,42,23,01,0.004688262939453125,0.010401725769042969,13159533.562467115,13159533.562467113
10,2000,690,3,45,25,01,0.00508880615234375,0.011714935302734375,16048288.680579143,16048288.680579143
10,2000,8753,2,42,23,01,0.0037157535552978516,0.011039972305297852,5358736.194928011,5358736.194928011
10,3000,3721,4,48,26,10,0.004397869110107422,0.01258707046508789,3663048.842035358,3663048.842035358
10,3000,9893,8,60,51,01,0.006618976593017578,0.028300046920776367,71206377.40824793,71206377.40824795
10,3000,7365,6,54,66,10,0.00531005859375,0.02524113655090332,174451163.97482178,174451163.97482175
10,4000,5499,6,54,38,01,0.0052068233489990234,0.01588273048400879,9814093.64537948,9814093.64537948
10,4000,4490,10,66,33,10,0.0062770843505859375,0.02164316177368164,12887428.740081418,12887428.740081418
10,4000,6192,8,60,44,01,0.006349086761474609,0.021864891052246094,27395270.713327903,27395270.7133279
10,5000,8137,6,54,30,10,0.004878997802734375,0.015563011169433594,6470889.025993149,6470889.025993149
10,5000,6443,23,108,4589,01,2.2530410289764404,74.54456973075867,1085907569393.3207,1085907569393.3206
10,5000,9848,6,54,63,10,0.004113912582397461,0.021048784255981445,161844589.13623434,161844589.13623434
30,1000,2420,2,122,65,10,0.01246190071105957,0.053903818130493164,72097394.66140085,72097394.66140085
30,1000,8045,5,131,200,10,0.01016378402709961,0.11974072456359863,1576572926.3029785,1576572926.3029785
30,1000,7702,2,122,77,01,0.008180856704711914,0.045030832290649414,185360490.86827785,185360490.86827785
30,2000,1115,4,128,69,10,0.00839686393737793,0.050244808197021484,20403928.543712303,20403928.543712303
30,2000,5680,4,128,120,10,0.008928775787353516,0.07284998893737793,275684657.6726867,275684657.6726867
30,2000,6750,6,134,131,10,0.009378194808959961,0.08253192901611328,696952745.0368017,696952745.0368018
30,3000,4735,1,119,60,10,0.007569789886474609,0.043442726135253906,43695373.07553123,43695373.07553123
30,3000,7900,13,155,511,10,0.032340049743652344,0.42937231063842773,7342606357.382956,7342606357.382956
30,3000,2602,4,128,64,01,0.01116490364074707,0.058716773986816406,74822822.01399401,74822822.01399401
30,4000,4447,9,146,323,10,0.012933015823364258,0.2633168697357178,4211843415.900157,4211843415.900157
30,4000,9606,6,134,113,01,0.009293794631958008,0.06995606422424316,300509836.7016076,300509836.7016076
30,4000,6533,6,134,88,10,0.008100271224975586,0.05520796775817871,34667554.2725364,34667554.2725364
30,5000,8241,16,164,726,01,0.03819108009338379,0.9585089683532715,18451163667.092102,18451163667.09211
30,5000,9070,5,131,119,01,0.009680747985839844,0.07216882705688477,211721328.70661062,211721328.70661062
30,5000,4276,16,164,458,10,0.019868135452270508,0.41400599479675293,2462861706.8444214,2462861706.844421
50,1000,5087,4,208,128,01,0.01906895637512207,0.14417529106140137,642874086.406333,642874086.406333
50,1000,3236,1,199,100,10,0.013625144958496094,0.1054530143737793,51857824.562939756,51857824.562939756
50,1000,5438,3,205,131,10,0.01494598388671875,0.11954498291015625,64836856.84084726,64836856.84084726
50,2000,8255,7,217,265,01,0.01751399040222168,0.6325099468231201,1310730418.8639219,1310730418.863922
50,2000,1220,10,226,779,01,0.12264108657836914,1.1765921115875244,13387739096.678638,13387739096.678642
50,2000,1379,3,205,119,10,0.01634812355041504,0.12013888359069824,243118624.09179255,243118624.09179258
50,3000,1361,9,223,353,01,0.021129131317138672,0.31726789474487305,11083035835.846464,11083035835.846466
