num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,num_loop_groups,paths_time,hybrid_r_time,hybrid_nr_time,top_down_time,paths_modified_time,paths_sum,hybrid_r_sum,hybrid_nr_sum,top_down_sum,paths_modified_sum
10,1000,2852,2,42,25,24031,1,0.01804184913635254,0.03745603561401367,0.0294039249420166,0.00238800048828125,0.004103899002075195,9443367.206058161,9443367.206058163,9443367.206058163,6820459.517620327,9443367.20605816
10,1000,933,3,45,27,03241,1,0.03152799606323242,0.02118992805480957,0.16063594818115234,0.002440929412841797,0.004107952117919922,10788347.933510315,10788347.933510315,10788347.933510315,10788347.933510315,10788347.933510315
10,1000,2347,2,42,34,42310,1,0.06199502944946289,0.03550887107849121,0.01699209213256836,0.002177000045776367,0.00455021858215332,71649193.77395463,71649193.77395463,71649193.77395463,71649193.77395463,71649193.77395463
10,1000,6559,1,39,20,31240,0,0.010252952575683594,0.036142826080322266,0.014165163040161133,0.002119302749633789,0.0028221607208251953,2410817.4093054878,2410817.4093054878,2410817.4093054878,2410817.409305488,2410817.4093054878
10,1000,9677,4,48,31,21430,1,0.04959607124328613,0.05053424835205078,0.02956414222717285,0.0025091171264648438,0.004790067672729492,6836319.472351712,6836319.472351712,6836319.472351712,6836319.472351711,6836319.472351712
20,1000,9190,3,85,45,41302,1,0.14299988746643066,0.08978915214538574,0.04709482192993164,0.0044040679931640625,0.012674808502197266,20936006.0509075,20936006.0509075,20936006.0509075,20936006.0509075,20936006.0509075
20,1000,1892,2,82,42,01324,1,0.15007710456848145,0.0988149642944336,0.04946398735046387,0.004211902618408203,0.01059103012084961,46582799.81434512,46582799.81434512,46582799.81434512,46582799.81434512,46582799.81434512
20,1000,6912,5,91,148,12304,4,4.180544853210449,0.2587101459503174,0.14936184883117676,0.005058765411376953,0.050972938537597656,1529290040.4556868,1529290040.4556868,1529290040.4556868,101720626.10661417,1529290040.4556868
20,1000,9490,2,82,45,03124,1,0.09701895713806152,0.0830848217010498,0.0435030460357666,0.004331111907958984,0.010519027709960938,31434412.643431187,31434412.643431187,31434412.643431187,31434412.643431187,31434412.643431187
20,1000,516,4,88,60,43201,1,0.272183895111084,0.11918497085571289,0.09617996215820312,0.004829883575439453,0.014213800430297852,184445660.64101434,184445660.64101434,184445660.64101434,184445660.64101434,184445660.64101434
30,1000,9080,5,131,109,02431,3,1.5103108882904053,0.18215107917785645,0.1700279712677002,0.007484912872314453,0.03683900833129883,472471688.6810689,472471688.6810689,469627392.4849332,375781925.1046532,472471688.6810689
30,1000,5824,3,125,127,20314,1,4.254415035247803,1.4037902355194092,0.6682760715484619,0.007158756256103516,0.050952911376953125,740710264.7319951,740710264.7319951,740710264.7319951,740710264.7319951,740710264.7319951
30,1000,6583,4,128,115,32410,3,2.605577230453491,0.4634101390838623,0.2597332000732422,0.008467912673950195,0.04130196571350098,203234347.79331183,203234347.79331183,203234347.7933118,85548532.16188315,203234347.79331183
30,1000,4807,7,137,81,02341,1,0.917517900466919,0.4674699306488037,0.25554394721984863,0.008977890014648438,0.03194069862365723,72044196.68932426,72044196.68932426,72044196.68932426,72044196.68932426,72044196.68932426
