num_samples,sequence_length,seed,num_trees,nodes,num_paths,num_loop_groups,max_loop_size
50,1000,7933,2,202,105,1,10
50,2000,9704,2,202,105,1,2
50,3000,9657,4,208,139,3,4
50,4000,7304,6,214,147,2,17
50,5000,3360,7,217,166,1,28
50,6000,3694,14,247,1372,1,59
50,7000,974,16,244,1129,5,30
50,8000,8725,18,250,3582,1,57
50,9000,1127,34,301,38688,1,112
50,10000,6847,22,262,5123,3,67
100,1000,8251,4,408,212,1,29
100,2000,5189,7,417,542,3,24
100,3000,4890,4,408,261,1,17
100,4000,2191,6,414,285,1,42
100,5000,1987,12,432,499,1,49
100,6000,9604,21,462,746,2,87
100,7000,7463,22,462,4176,1,76
100,8000,6263,21,459,10190,1,84
100,9000,1097,30,486,1704,1,102
100,10000,9193,24,468,2795,1,72
150,1000,2409,4,608,427,1,29
150,2000,3655,5,611,617,2,19
150,3000,2232,6,614,423,2,20
150,4000,4436,15,647,20720,1,66
150,5000,7703,15,650,7421,1,70
150,6000,6098,18,650,3262,1,80
150,7000,2548,22,662,2828,2,81
150,8000,4261,16,644,4536,2,57
150,9000,169,27,677,6236,1,116
150,10000,3009,25,671,2960,1,103
200,1000,1547,4,808,831,1,15
200,2000,9062,3,805,407,1,25
200,3000,9844,8,820,613,1,45
200,4000,4717,14,838,1694,1,62
200,5000,1018,16,844,1093,1,64
200,6000,9806,14,838,2249,1,59
200,7000,3900,19,856,9093,1,74
200,8000,7506,32,892,1342,2,107
200,9000,6830,28,880,1591,1,141
200,10000,3854,29,885,5014,1,120
250,1000,150,8,1020,1110,2,26
250,2000,5629,6,1014,673,3,25
250,3000,4047,20,1056,2508,2,87
250,4000,3935,12,1032,4230,1,45
250,5000,7649,20,1056,3038,1,95
250,6000,5231,9,1026,4032,1,33
250,7000,2056,24,1071,9798,1,107
250,8000,4302,22,1065,7781,2,102
250,9000,1041,28,1080,4419,1,133
250,10000,9481,34,1098,43928,1,123
300,1000,4070,3,1205,708,2,27
300,2000,4111,7,1217,1451,1,54
300,3000,3061,13,1235,2490,2,39
300,4000,6265,20,1256,7249,5,54
300,5000,1312,18,1250,13320,2,56
300,6000,6321,12,1232,1839,1,59
300,7000,5218,23,1268,19845,1,83
300,8000,2973,14,1241,1873,1,58
300,9000,5033,16,1244,5258,3,75
300,10000,4561,23,1268,3270,2,100
350,1000,9489,4,1408,779,2,15
350,2000,4719,4,1408,1008,1,10
350,3000,4897,9,1423,1214,4,22
350,4000,8344,7,1417,1240,2,38
350,5000,523,14,1438,1886,1,77
350,6000,4290,20,1456,9836,1,95
350,7000,723,20,1459,5110,2,98
350,8000,765,22,1462,3744,3,84
